city_actual,rating_count,price,city,stars,year,month,weekend,distance,accommodation_type,rating
Vienna,36,81,Vienna,4,2017,11,0,2.7,Apartment,4.4
Vienna,189,81,Vienna,4,2017,11,0,1.7,Hotel,3.9
Vienna,53,85,Vienna,4,2017,11,0,1.4,Hotel,3.7
Vienna,55,83,Vienna,3,2017,11,0,1.7,Hotel,4
Vienna,33,82,Vienna,4,2017,11,0,1.2,Hotel,3.9
Vienna,25,229,Vienna,5,2017,11,0,0.9,Apartment,4.8
Vienna,57,103,Vienna,4,2017,11,0,0.9,Hotel,3.9
Vienna,161,150,Vienna,4,2017,11,0,1,Hotel,4.6
Vienna,50,80,Vienna,2,2017,11,0,0.7,Hotel,3.5
Vienna,NA,153,Vienna,3,2017,11,0,1.5,Apartment,NA
Vienna,203,60,Vienna,4,2017,11,0,1.1,Hotel,4.1
Vienna,251,128,Vienna,4,2017,11,0,0.8,Hotel,4
Vienna,142,100,Vienna,4,2017,11,0,1,Apartment,4.5
Vienna,8,143,Vienna,2,2017,11,0,1.2,Apartment,3.7
Vienna,NA,106,Vienna,2.5,2017,11,0,0.7,Hotel,NA
Vienna,18,85,Vienna,4,2017,11,0,1.7,Hotel,4.1
Vienna,20,77,Vienna,3,2017,11,0,0.9,Hotel,3.7
Vienna,77,78,Vienna,3,2017,11,0,0.8,Hotel,3.9
Vienna,76,78,Vienna,3,2017,11,0,0.9,Hotel,4
Vienna,NA,260,Vienna,3.5,2017,11,0,3.4,Apartment,NA
Vienna,5,158,Vienna,3,2017,11,0,3.4,Apartment,4.8
Vienna,77,77,Vienna,3,2017,11,0,4.2,Hotel,3.9
Vienna,193,77,Vienna,3,2017,11,0,3.9,Hotel,2.7
Vienna,94,95,Vienna,4,2017,11,0,3.6,Hotel,4.3
Vienna,1,156,Vienna,3,2017,11,0,3.8,Apartment,3
Vienna,5,145,Vienna,3,2017,11,0,3.5,Bed and breakfast,3.5
Vienna,178,208,Vienna,4,2017,11,0,2.9,Hotel,4.1
Vienna,330,87,Vienna,3,2017,11,0,3.4,Hotel,3.7
Vienna,6,131,Vienna,2,2017,11,0,2.3,Apartment,3.5
Vienna,194,54,Vienna,3,2017,11,0,2,Hotel,3.5
Vienna,9,139,Vienna,2,2017,11,0,2.4,Apartment,3
Vienna,3,184,Vienna,2,2017,11,0,2.8,Apartment,3.2
Vienna,1,127,Vienna,3,2017,11,0,2.9,Apartment,1
Vienna,NA,95,Vienna,3,2017,11,0,2.5,Apartment,NA
Vienna,441,99,Vienna,3.5,2017,11,0,1.7,Hotel,4.4
Vienna,1122,75,Vienna,3.5,2017,11,0,1.7,Hotel,4.4
Vienna,362,76,Vienna,3,2017,11,0,2.1,Hotel,4.4
Vienna,2,130,Vienna,2,2017,11,0,2.5,Apartment,3
Vienna,525,91,Vienna,4,2017,11,0,1.9,Hotel,4.5
Vienna,1,135,Vienna,2,2017,11,0,2.4,Apartment,3
Vienna,113,56,Vienna,2,2017,11,0,2,Hotel,2
Vienna,71,27,Vienna,2,2017,11,0,2.7,Hostel,3.7
Vienna,1,88,Vienna,3,2017,11,0,2.3,Apartment,3
Vienna,22,133,Vienna,2,2017,11,0,2.5,Apartment,3.5
Vienna,366,33,Vienna,2,2017,11,0,1.8,Hotel,3.4
Vienna,NA,116,Vienna,3.5,2017,11,0,2,Apartment,NA
Vienna,821,71,Vienna,4,2017,11,0,1.7,Hotel,4
Vienna,16,90,Vienna,3.5,2017,11,0,2.7,Apartment,3.5
Vienna,23,84,Vienna,4,2017,11,0,1.9,Apartment,4.1
Vienna,38,63,Vienna,3,2017,11,0,2.3,Guest House,4.3
Fischamend,366,59,Vienna,3,2017,11,0,13,Hotel,3
Vienna,77,113,Vienna,3,2017,11,0,0.2,Hotel,4.4
Vienna,27,218,Vienna,4.5,2017,11,0,0.1,Apartment,4.1
Vienna,144,299,Vienna,5,2017,11,0,0.1,Hotel,4.5
Vienna,184,156,Vienna,3,2017,11,0,0.3,Hotel,4.5
Vienna,78,513,Vienna,5,2017,11,0,0.3,Hotel,4.8
Vienna,319,133,Vienna,4,2017,11,0,0.3,Hotel,4.3
Vienna,73,123,Vienna,4,2017,11,0,0.5,Hotel,4.1
Vienna,81,219,Vienna,4,2017,11,0,0.3,Hotel,4.5
Vienna,271,152,Vienna,4,2017,11,0,0.3,Hotel,4.3
Vienna,211,115,Vienna,4,2017,11,0,0.1,Hotel,4.3
Vienna,5,806,Vienna,5,2017,11,0,0.3,Hotel,4.5
Vienna,316,138,Vienna,4,2017,11,0,0.2,Hotel,4.5
Vienna,28,95,Vienna,3,2017,11,0,0.4,Apartment,3.7
Vienna,336,146,Vienna,4,2017,11,0,0.1,Hotel,4.4
Vienna,83,103,Vienna,3,2017,11,0,0.7,Pension,4
Vienna,NA,125,Vienna,3.5,2017,11,0,0.5,Apartment,NA
Vienna,88,98,Vienna,3,2017,11,0,0.5,Hotel,3.7
Vienna,140,121,Vienna,3.5,2017,11,0,0.3,Hotel,4.5
Vienna,391,149,Vienna,4,2017,11,0,0.2,Hotel,4
Vienna,320,120,Vienna,3,2017,11,0,0.3,Hotel,3.9
Vienna,21,157,Vienna,3,2017,11,0,0.4,Hotel,4.4
Vienna,193,261,Vienna,5,2017,11,0,0.3,Hotel,4.8
Vienna,75,145,Vienna,3.5,2017,11,0,0.7,Apartment,4.1
Vienna,35,275,Vienna,4,2017,11,0,0.2,Apartment,4.3
Vienna,NA,253,Vienna,3.5,2017,11,0,0.2,Apartment,NA
Vienna,NA,209,Vienna,4,2017,11,0,0.2,Apartment,NA
Vienna,505,112,Vienna,4,2017,11,0,0.2,Hotel,4
Vienna,386,138,Vienna,4,2017,11,0,0.3,Hotel,4.3
Vienna,109,84,Vienna,3,2017,11,0,0.4,Pension,4
Vienna,626,199,Vienna,4.5,2017,11,0,0.3,Hotel,4.5
Vienna,334,203,Vienna,5,2017,11,0,0.3,Hotel,4.4
Vienna,NA,116,Vienna,3,2017,11,0,0.2,Vacation home Condo,NA
Vienna,NA,107,Vienna,3.5,2017,11,0,0.2,Apartment,NA
Vienna,NA,127,Vienna,3.5,2017,11,0,0.2,Apartment,NA
Vienna,NA,104,Vienna,3.5,2017,11,0,0.2,Apartment,NA
Vienna,11,168,Vienna,3.5,2017,11,0,0.2,Apartment,4
Vienna,150,544,Vienna,5,2017,11,0,0.5,Hotel,4.8
Vienna,531,252,Vienna,5,2017,11,0,0.5,Hotel,4.6
Vienna,253,323,Vienna,5,2017,11,0,0.5,Hotel,4.5
Vienna,47,158,Vienna,3,2017,11,0,0.3,Hotel,4.3
Vienna,19,156,Vienna,3.5,2017,11,0,0.2,Apartment,4
Vienna,124,218,Vienna,4,2017,11,0,0.2,Hotel,4.6
Vienna,115,218,Vienna,4,2017,11,0,0.1,Hotel,4.5
Vienna,110,135,Vienna,3,2017,11,0,0.3,Hotel,3.9
Vienna,16,219,Vienna,2,2017,11,0,0.6,Apartment,4
Vienna,467,179,Vienna,4,2017,11,0,0.5,Hotel,4.4
Vienna,NA,511,Vienna,3.5,2017,11,0,0.5,Apartment,NA
Vienna,650,157,Vienna,4,2017,11,0,0.7,Hotel,4.5
Vienna,95,146,Vienna,4,2017,11,0,0.3,Hotel,4.5
Vienna,564,200,Vienna,5,2017,11,0,0.4,Hotel,4.3
Vienna,168,157,Vienna,4,2017,11,0,0.1,Hotel,4.1
Vienna,NA,138,Vienna,4,2017,11,0,0.3,Apartment,NA
Vienna,175,108,Vienna,3,2017,11,0,0.3,Hotel,3.5
Vienna,NA,290,Vienna,3.5,2017,11,0,0.2,Apartment,NA
Vienna,426,127,Vienna,4,2017,11,0,0.8,Hotel,4
Vienna,1,114,Vienna,3,2017,11,0,0.7,Guest House,3
Vienna,148,163,Vienna,4,2017,11,0,0.4,Hotel,4.1
Vienna,163,116,Vienna,4,2017,11,0,0.2,Apart-hotel,4.5
Vienna,493,226,Vienna,5,2017,11,0,0.5,Hotel,4.3
Vienna,56,231,Vienna,4,2017,11,0,0.1,Hotel,4.4
